,Visits,Mind Exercise,FamilyInt,Color MCGDM,Weight MCGDM,Color FCS,MV FCS
2356,14,102,2,Orange,0.3502225666470679,Orange,0.6000000000000001
2357,14,102,4,Blue,0.3490571895823012,Orange,0.6857191839533688
2358,14,102,6,Blue,0.36277508861605723,Blue,0.8000000000000002
2359,14,102,8,Blue,0.3661678271755941,Blue,0.8
2360,14,102,10,Blue,0.3669698187503962,Blue,0.8
2361,14,102,12,Blue,0.36774344489978583,Blue,0.8
2362,14,102,14,Blue,0.36848885344143595,Blue,0.8
2363,14,102,16,Blue,0.36848885344143595,Blue,0.8
2364,14,102,18,Blue,0.36848885344143595,Blue,0.8
2365,14,102,20,Blue,0.36848885344143595,Blue,0.8
2366,14,102,22,Blue,0.36848885344143595,Blue,0.8
2367,14,102,24,Blue,0.36848885344143595,Blue,0.8
2368,14,102,26,Blue,0.36848885344143595,Blue,0.8
2369,14,102,28,Blue,0.36848885344143595,Blue,0.8
2370,14,108,0,Orange,0.3502225666470679,Orange,0.6000000000000001
2371,14,108,2,Orange,0.3502225666470679,Orange,0.6000000000000001
2372,14,108,4,Blue,0.3490571895823012,Orange,0.6857191839533688
2373,14,108,6,Blue,0.36277508861605723,Blue,0.8000000000000002
2374,14,108,8,Blue,0.3661678271755941,Blue,0.8
2375,14,108,10,Blue,0.3669698187503962,Blue,0.8
2376,14,108,12,Blue,0.36774344489978583,Blue,0.8
2377,14,108,14,Blue,0.36848885344143595,Blue,0.8
2378,14,108,16,Blue,0.36848885344143595,Blue,0.8
2379,14,108,18,Blue,0.36848885344143595,Blue,0.8
2380,14,108,20,Blue,0.36848885344143595,Blue,0.8
2381,14,108,22,Blue,0.36848885344143595,Blue,0.8
2382,14,108,24,Blue,0.36848885344143595,Blue,0.8
2383,14,108,26,Blue,0.36848885344143595,Blue,0.8
2384,14,108,28,Blue,0.36848885344143595,Blue,0.8
2385,14,114,0,Orange,0.3502225666470679,Orange,0.6000000000000001
2386,14,114,2,Orange,0.3502225666470679,Orange,0.6000000000000001
2387,14,114,4,Blue,0.3490571895823012,Orange,0.6857191839533688
2388,14,114,6,Blue,0.36277508861605723,Blue,0.8000000000000002
2389,14,114,8,Blue,0.3661678271755941,Blue,0.8
2390,14,114,10,Blue,0.3669698187503962,Blue,0.8
2391,14,114,12,Blue,0.36774344489978583,Blue,0.8
2392,14,114,14,Blue,0.36848885344143595,Blue,0.8
2393,14,114,16,Blue,0.36848885344143595,Blue,0.8
2394,14,114,18,Blue,0.36848885344143595,Blue,0.8
2395,14,114,20,Blue,0.36848885344143595,Blue,0.8
2396,14,114,22,Blue,0.36848885344143595,Blue,0.8
2397,14,114,24,Blue,0.36848885344143595,Blue,0.8
2398,14,114,26,Blue,0.36848885344143595,Blue,0.8
2399,14,114,28,Blue,0.36848885344143595,Blue,0.8
2400,16,0,0,Orange,0.36805403431909456,Orange,0.6000000000000001
2401,16,0,2,Orange,0.36805403431909456,Orange,0.6000000000000001
2402,16,0,4,Orange,0.3549923828445128,Orange,0.6000000000000002
2403,16,0,6,Orange,0.3443789041372338,Orange,0.6000000000000001
2404,16,0,8,Orange,0.3430982779100542,Orange,0.6000000000000001
2405,16,0,10,Orange,0.3443899333795892,Orange,0.6000000000000001
2406,16,0,12,Orange,0.34574264424377255,Orange,0.6000000000000001
2407,16,0,14,Orange,0.34715688434439645,Orange,0.6000000000000001
2408,16,0,16,Orange,0.34715688434439645,Orange,0.6000000000000001
2409,16,0,18,Orange,0.34715688434439645,Orange,0.6000000000000001
2410,16,0,20,Orange,0.34715688434439645,Orange,0.6000000000000001
2411,16,0,22,Orange,0.34715688434439645,Orange,0.6000000000000001
2412,16,0,24,Orange,0.34715688434439645,Orange,0.6000000000000001
2413,16,0,26,Orange,0.34715688434439645,Orange,0.6000000000000001
2414,16,0,28,Orange,0.34715688434439645,Orange,0.6000000000000001
2415,16,6,0,Orange,0.36805403431909456,Orange,0.6000000000000001
2416,16,6,2,Orange,0.36805403431909456,Orange,0.6000000000000001
2417,16,6,4,Orange,0.3549923828445128,Orange,0.6000000000000002
2418,16,6,6,Orange,0.3443789041372338,Orange,0.6000000000000001
2419,16,6,8,Orange,0.3430982779100542,Orange,0.6000000000000001
2420,16,6,10,Orange,0.3443899333795892,Orange,0.6000000000000001
2421,16,6,12,Orange,0.34574264424377255,Orange,0.6000000000000001
2422,16,6,14,Orange,0.34715688434439645,Orange,0.6000000000000001
2423,16,6,16,Orange,0.34715688434439645,Orange,0.6000000000000001
2424,16,6,18,Orange,0.34715688434439645,Orange,0.6000000000000001
2425,16,6,20,Orange,0.34715688434439645,Orange,0.6000000000000001
2426,16,6,22,Orange,0.34715688434439645,Orange,0.6000000000000001
2427,16,6,24,Orange,0.34715688434439645,Orange,0.6000000000000001
2428,16,6,26,Orange,0.34715688434439645,Orange,0.6000000000000001
2429,16,6,28,Orange,0.34715688434439645,Orange,0.6000000000000001
2430,16,12,0,Orange,0.36805403431909456,Orange,0.6000000000000001
2431,16,12,2,Orange,0.36805403431909456,Orange,0.6000000000000001
2432,16,12,4,Orange,0.3549923828445128,Orange,0.6000000000000002
2433,16,12,6,Orange,0.3443789041372338,Orange,0.6000000000000001
2434,16,12,8,Orange,0.3430982779100542,Orange,0.6000000000000001
2435,16,12,10,Orange,0.3443899333795892,Orange,0.6000000000000001
2436,16,12,12,Orange,0.34574264424377255,Orange,0.6000000000000001
2437,16,12,14,Orange,0.34715688434439645,Orange,0.6000000000000001
2438,16,12,16,Orange,0.34715688434439645,Orange,0.6000000000000001
2439,16,12,18,Orange,0.34715688434439645,Orange,0.6000000000000001
2440,16,12,20,Orange,0.34715688434439645,Orange,0.6000000000000001
2441,16,12,22,Orange,0.34715688434439645,Orange,0.6000000000000001
2442,16,12,24,Orange,0.34715688434439645,Orange,0.6000000000000001
2443,16,12,26,Orange,0.34715688434439645,Orange,0.6000000000000001
2444,16,12,28,Orange,0.34715688434439645,Orange,0.6000000000000001
2445,16,18,0,Orange,0.35126143630541123,Orange,0.6000000000000001
2446,16,18,2,Orange,0.35126143630541123,Orange,0.6000000000000001
2447,16,18,4,Blue,0.3424786175310445,Orange,0.6428595919766846
2448,16,18,6,Blue,0.3542837687695633,Blue,0.7304347826086958
2449,16,18,8,Blue,0.3566320693213157,Blue,0.7296260289066046
