,Visits,Mind Exercise,FamilyInt,Color MCGDM,Weight MCGDM,Color FCS,MV FCS
0,0,0,10,Red,0.34930467859757497,Orange,0.37144
1,0,0,12,Red,0.3402777543754101,Orange,0.4857200000000001
2,0,6,10,Red,0.34930467859757497,Orange,0.37144
3,0,6,12,Red,0.3402777543754101,Orange,0.4857200000000001
4,0,12,10,Red,0.34930467859757497,Orange,0.37144
5,0,12,12,Red,0.3402777543754101,Orange,0.4857200000000001
6,0,18,10,Red,0.3505077462521908,Orange,0.3841333333333334
7,0,18,12,Red,0.34269860736317953,Orange,0.4644124102746634
8,0,24,10,Red,0.34722741634799376,Orange,0.37144
9,0,24,12,Red,0.3390966862626339,Orange,0.4857200000000001
10,0,30,10,Red,0.34722741634799376,Orange,0.37144
11,0,30,12,Red,0.3390966862626339,Orange,0.4857200000000001
12,0,36,8,Red,0.3522106209190592,Orange,0.373355109659356
13,0,36,10,Red,0.3443095676754894,Orange,0.4653142857142858
14,0,36,12,Red,0.3363693303265655,Orange,0.5469428571428573
15,0,42,6,Red,0.35118657267152714,Orange,0.36000000000000004
16,0,42,8,Red,0.3494337772658846,Orange,0.4355731840099549
17,0,42,10,Red,0.3416316452760841,Orange,0.5174666666666667
18,0,42,12,Red,0.33397754984273503,Orange,0.5781850579101439
19,0,48,6,Red,0.34823161268553554,Orange,0.4400000000000001
20,0,48,8,Red,0.34667171586353945,Orange,0.4977912583605538
21,0,48,10,Red,0.3389743151095208,Orange,0.5587333333333335
22,0,48,12,Blue,0.3353110617593981,Orange,0.6036400661830215
23,0,54,4,Red,0.35002548885843376,Orange,0.30169836265636124
24,0,54,6,Red,0.3454123284034893,Orange,0.5157894736842107
25,0,54,8,Red,0.3439243730136264,Orange,0.5600093327111527
26,0,54,10,Red,0.3365980462382545,Orange,0.6040857142857144
27,0,54,12,Blue,0.3383274565928402,Orange,0.6449000000000001
28,0,60,4,Red,0.34693092877803205,Orange,0.3714383679067376
29,0,60,6,Red,0.3430014475238077,Orange,0.6000000000000001
30,0,60,8,Red,0.3416909648758741,Orange,0.62858
31,0,60,10,Blue,0.33577133780348345,Orange,0.6857200000000001
32,0,66,4,Red,0.34693092877803205,Orange,0.3714383679067376
33,0,66,6,Red,0.3430014475238077,Orange,0.6000000000000001
34,0,66,8,Red,0.3416909648758741,Orange,0.62858
35,0,66,10,Blue,0.33577133780348345,Orange,0.6857200000000001
36,0,72,4,Red,0.34693092877803205,Orange,0.3714383679067376
37,0,72,6,Red,0.3430014475238077,Orange,0.6000000000000001
38,0,72,8,Red,0.3416909648758741,Orange,0.62858
39,0,72,10,Blue,0.33577133780348345,Orange,0.6857200000000001
40,0,78,4,Red,0.34693092877803205,Orange,0.3714383679067376
41,0,78,6,Red,0.3430014475238077,Orange,0.6000000000000001
42,0,78,8,Red,0.3416909648758741,Orange,0.62858
43,0,78,10,Blue,0.33577133780348345,Orange,0.6857200000000001
44,0,84,4,Red,0.34693092877803205,Orange,0.3714383679067376
45,0,84,6,Red,0.3430014475238077,Orange,0.6000000000000001
46,0,84,8,Red,0.3416909648758741,Orange,0.62858
47,0,84,10,Blue,0.33577133780348345,Orange,0.6857200000000001
48,0,90,4,Red,0.34693092877803205,Orange,0.3714383679067376
49,0,90,6,Red,0.3430014475238077,Orange,0.6000000000000001
50,0,90,8,Red,0.3416909648758741,Orange,0.62858
51,0,90,10,Blue,0.33577133780348345,Orange,0.6857200000000001
52,0,96,4,Red,0.34693092877803205,Orange,0.3714383679067376
53,0,96,6,Red,0.3430014475238077,Orange,0.6000000000000001
54,0,96,8,Red,0.3416909648758741,Orange,0.62858
55,0,96,10,Blue,0.33577133780348345,Orange,0.6857200000000001
56,0,102,4,Red,0.34693092877803205,Orange,0.3714383679067376
57,0,102,6,Red,0.3430014475238077,Orange,0.6000000000000001
58,0,102,8,Red,0.3416909648758741,Orange,0.62858
59,0,102,10,Blue,0.33577133780348345,Orange,0.6857200000000001
60,0,108,4,Red,0.34693092877803205,Orange,0.3714383679067376
61,0,108,6,Red,0.3430014475238077,Orange,0.6000000000000001
62,0,108,8,Red,0.3416909648758741,Orange,0.62858
63,0,108,10,Blue,0.33577133780348345,Orange,0.6857200000000001
64,0,114,4,Red,0.34693092877803205,Orange,0.3714383679067376
65,0,114,6,Red,0.3430014475238077,Orange,0.6000000000000001
66,0,114,8,Red,0.3416909648758741,Orange,0.62858
67,0,114,10,Blue,0.33577133780348345,Orange,0.6857200000000001
68,2,0,10,Red,0.34930467859757497,Orange,0.37144
69,2,0,12,Red,0.3402777543754101,Orange,0.4857200000000001
70,2,6,10,Red,0.34930467859757497,Orange,0.37144
71,2,6,12,Red,0.3402777543754101,Orange,0.4857200000000001
72,2,12,10,Red,0.34930467859757497,Orange,0.37144
73,2,12,12,Red,0.3402777543754101,Orange,0.4857200000000001
74,2,18,10,Red,0.3505077462521908,Orange,0.3841333333333334
75,2,18,12,Red,0.34269860736317953,Orange,0.4644124102746634
76,2,24,10,Red,0.34722741634799376,Orange,0.37144
77,2,24,12,Red,0.3390966862626339,Orange,0.4857200000000001
78,2,30,10,Red,0.34722741634799376,Orange,0.37144
79,2,30,12,Red,0.3390966862626339,Orange,0.4857200000000001
80,2,36,8,Red,0.3522106209190592,Orange,0.373355109659356
81,2,36,10,Red,0.3443095676754894,Orange,0.4653142857142858
82,2,36,12,Red,0.3363693303265655,Orange,0.5469428571428573
83,2,42,6,Red,0.35118657267152714,Orange,0.36000000000000004
84,2,42,8,Red,0.3494337772658846,Orange,0.4355731840099549
